"Employee No","Employee Name","Total Hours","Total Available Hours","Total Work Hours","Total Leave Hours","Total Training Hours","Total BD Hours","Total NC Hours","Total Utilization%","No of Working Years","Profit Center","Employee Position","Employee Location","Employee Category","Supervisor name","People Group","Current Status"
810,"Elinor Cully",2040,1754.5,1741,192,93.5,0,72,49.62,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Chris Ricky","Client Service Staff",Active
811,"Natashia Buss",2040,1779.5,1826,152,108.5,0,69.5,51.3,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Dannie Clotilda","Client Service Staff",Active
812,"Leonel Tittle",2040,1511.5,1139,444,84.5,0,472,37.68,0.92,"PC - 3","Level 7","Location 1","Confirmed Staff","Ali Elsinore","Client Service Staff",Active
813,"Marlin Martensen",2040,1828.5,816,120,91.5,0,1037,22.32,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Ruthe Bellina","Client Service Staff",Active
814,"Inell Ceaser",2040,1670,1732,224,146,0,425,51.86,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Aimil Latisha","Client Service Staff",Active
815,"Katharina Christoff",2040,1674.5,584,224,141.5,0,1158,17.44,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Mira Fiorenze","Client Service Staff",Active
816,"Deedee Smeltzer",2040,1703.5,1672,224,112.5,0,72,49.08,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Aimil Latisha","Client Service Staff",Active
817,"Latosha Bierbaum",2040,1796,100,208,36,1651,56,2.78,0.92,"PC - 1","Level 3","Location 3","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
818,"Le Wolcott",2040,1945.5,1692,72,22.5,0,707,43.48,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Libby Bowen","Client Service Staff",Active
819,"Trent Bernardini",2040,1784.5,628,176,79.5,0,1382,17.6,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Cassandra Katerina","Client Service Staff",Active
820,"Tambra Meza",2000,1731,1604,160,109,0,287,46.33,0.92,"PC - 3","Level 7","Location 4","Confirmed Staff","Danette Melinda","Client Service Staff",Active
821,"Noemi Marston",2000,1699.5,1512,208,92.5,0,345.5,44.48,0.92,"PC - 3","Level 7","Location 1","Confirmed Staff","Yolanthe Laurella","Client Service Staff",Active
822,"Jason Sequeira",2000,1790.5,596,168,41.5,0,1396.5,16.64,0.92,"PC - 3","Level 7","Location 1","Confirmed Staff","Hedi Elna","Client Service Staff",Active
823,"Donette Verne",2000,1836.5,1516,128,35.5,0,462,41.28,0.92,"PC - 3","Level 5","Location 1","Confirmed Staff","Latosha Bierbaum","Client Service Staff",Active
824,"Carter Puff",1560,1274,1156,248,38,0,126,45.37,0.76,"PC - 3","Level 8","Location 1",Resigned,"Landon Browning","Client Service Staff",Resigned
825,"Howard Nuckles",912,779.5,26,96,36.5,0,761.5,1.67,0.42,"PC - 3","Level 5","Location 4",Resigned,"Hedi Elna","Client Service Staff",Resigned
826,"Maryetta Monty",2000,1752,1488,176,72,0,384,42.46,0.92,"PC - 1","Level 7","Location 3","Confirmed Staff","Maria Aubrey","Client Service Staff",Active
827,"Ingeborg Nies",2000,1689,1597,261,50,0,168,47.28,0.92,"PC - 3","Level 6","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
828,"Vilma Vosburg",2000,1680,1035,232,88,0,677,30.8,0.92,"PC - 2","Level 8","Location 7","Confirmed Staff","Mira Fiorenze","Client Service Staff",Active
829,"Rudolph Yarnall",656,556,160,48,52,0,424,14.39,0.34,"PC - 1","Level 7","Location 3",Resigned,0,"Client Service Staff",Resigned
830,"Brenda Crandall",2000,1700,1546,224,76,0,230,45.47,0.92,"PC - 2","Level 6","Location 7","Confirmed Staff","Philippe Kizzie","Client Service Staff",Active
831,"Tina Cuneo",2000,1701.5,1436.5,208,90.5,0,337.5,42.22,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Cassandra Katerina","Client Service Staff",Active
832,"Vina Landrith",1960,1668,1111,216,76,42,1066,33.3,0.92,"PC - 2","Level 6","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
833,"Katharine Coll",1920,1590,1499,264,66,0,95,47.14,0.83,"PC - 1","Level 7","Location 8","Confirmed Staff","Josey Rorie","Client Service Staff",Active
834,"Hoyt Boudreaux",1880,1596,2299.5,184,100,0,90,72.04,0.83,"PC - 2","Level 7","Location 9","Confirmed Staff","Imelda Madalena","Client Service Staff",Active
835,"Donna Kyser",1880,1590.5,1388,200,89.5,0,218.5,43.64,0.83,"PC - 2","Level 7","Location 9","Confirmed Staff","Lenora Nydia","Client Service Staff",Active
836,"Gordon Donaldson",1880,1645,1305,168,67,0,604,39.66,0.83,"PC - 3","Level 7","Location 1","Confirmed Staff","Xylina Beatriz","Client Service Staff",Active
837,"Jayden Alvarado",1840,1606.5,1167,112,121.5,0,488,36.32,0.83,"PC - 3","Level 8","Location 1","Confirmed Staff","Yolanthe Laurella","Client Service Staff",Active
838,"Tyrell Pineda",1840,1768,1192.5,60,12,0,599,33.72,0.83,"PC - 3","Level 6","Location 1","Confirmed Staff","Nikolia Shirl","Client Service Staff",Active
839,"Breanna Armstrong",920,845,640,56,19,0,397,37.87,0.42,"PC - 3","Level 8","Location 1",Resigned,"Orsa Margeaux","Client Service Staff",Resigned
840,"Kellen Bridges",1840,1576,1419.8,200,64,0,156.2,45.04,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Josey Rorie","Client Service Staff",Active
841,"Jordin Conway",1840,1705.5,1614,76,58.5,0,540,47.32,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Cynthia Leonora","Client Service Staff",Active
842,"Avery Griffin",1840,1569.75,1432,176,94.25,0,367,45.61,0.83,"PC - 1","Level 8","Location 3","Confirmed Staff","Sheila Papagena","Client Service Staff",Active
843,"Deegan Rosales",1840,1615,1524,160,65,0,115,47.18,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Vinni Calypso","Client Service Staff",Active
844,"Erin Cantu",1840,1669,1168,104,67,0,508,34.99,0.83,"PC - 1","Level 7","Location 8","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
845,"Alicia Sexton",1840,1593,1360,144,103,0,261,42.68,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
846,"Cooper Stevens",1840,1564,1596,192,84,0,29,51.02,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Conni Athene","Client Service Staff",Active
847,"Tomas Ramirez",1840,1574,1419,200,66,48,132,45.08,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Ilsa Marigold","Client Service Staff",Active
848,"Kamryn Miranda",1840,1611.75,1588,144,84.25,0,91.5,49.26,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Margo Opaline","Client Service Staff",Active
849,"Isabela Sloan",1840,1663.5,1416,112,64.5,0,322,42.56,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
850,"Gwendolyn Mccarty",1840,1624,1180,128,88,0,576,36.33,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Margo Opaline","Client Service Staff",Active
851,"Keshawn Peterson",1840,1571.5,1466,200,68.5,0,427.5,46.64,0.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
852,"Leroy French",1840,1688,1798,72,80,0,362,53.26,0.83,"PC - 2","Level 7","Location 7","Confirmed Staff","Laetitia Yoshi","Client Service Staff",Active
853,"Cassidy Barnett",1800,1480,1302,224,96,0,474,43.98,0.83,"PC - 3","Level 8","Location 1","Confirmed Staff","Yolanthe Laurella","Client Service Staff",Active
854,"Peyton Swanson",1800,1510,1342,208,82,0,180,44.44,0.83,"PC - 3","Level 8","Location 4","Confirmed Staff","Mathilda Tomi","Client Service Staff",Active
855,"Landon Browning",1800,1622,1073,152,26,0,549,33.08,0.83,"PC - 3","Level 4","Location 1","Confirmed Staff","Kalindi Toma","Client Service Staff",Active
856,"Everett Zavala",1800,1660,1660,128,12,0,32,50,0.83,"PC - 3","Level 8","Location 1","Confirmed Staff","Cordula Devan","Client Service Staff",Active
857,"Reginald Dennis",1800,1662,1269,104,34,0,437,38.17,0.83,"PC - 1","Level 8","Location 3","Confirmed Staff","Donette Verne","Client Service Staff",Active
858,"Keyon Garza",1800,1563,852,144,93,0,712,27.26,0.83,"PC - 3","Level 8","Location 1","Confirmed Staff","Yolanthe Laurella","Client Service Staff",Active
859,"Adrian Clayton",1800,1570,1446,176,54,0,327,46.05,0.83,"PC - 2","Level 7","Location 7","Confirmed Staff","Libby Bowen","Client Service Staff",Active
860,"Nash Barron",1720,1531.5,1252,160,28.5,246,61,40.88,0.75,"PC - 2","Level 7","Location 9","Confirmed Staff","Imelda Madalena","Client Service Staff",Active
861,"Myah Delgado",1720,1468,1336,224,28,0,145,45.5,0.75,"PC - 2","Level 6","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
862,"Ibrahim Jensen",1720,1434,1248,248,38,0,277,43.52,0.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Yolanthe Laurella","Client Service Staff",Active
863,"Liana Brewer",1720,1553,1480,96,71,0,128,47.65,0.75,"PC - 2","Level 6","Location 7","Confirmed Staff","Marys Essy","Client Service Staff",Active
864,"Jagger Kaiser",1224,871.5,711.5,208,144.5,0,192,40.82,0.59,"PC - 2","Level 8","Location 7",Resigned,"Josi Ula","Client Service Staff",Resigned
865,"Amare Beck",1720,1403.5,1284,188,128.5,0,208,45.74,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Aimil Latisha","Client Service Staff",Active
866,"Sara Mora",1720,1437,1310,152,131,0,543,45.58,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Cosette Lavena","Client Service Staff",Active
867,"Liana Galvan",1720,1547,1383,129,44,0,338,44.7,0.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Ali Elsinore","Client Service Staff",Active
868,"Yaritza Browning",560,429,300,56,75,0,193,34.97,0.25,"PC - 2","Level 7","Location 7",Resigned,"Myrtie Brana","Client Service Staff",Resigned
869,"Diego Rosales",1720,1400.5,1297,192,127.5,0,124.5,46.3,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Dannie Clotilda","Client Service Staff",Active
870,"Anderson Oneal",1720,1581,1168,104,35,0,570.5,36.94,0.75,"PC - 1","Level 6","Location 3","Confirmed Staff","Hedi Elna","Client Service Staff",Active
871,"Elijah Galvan",1680,1507,1518,112,61,0,191,50.36,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Refugia Morganti","Client Service Staff",Active
872,"Deon Hess",1680,1428,1352,160,92,88,66,47.34,0.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Benedikta Kirbee","Client Service Staff",Active
873,"Paula Davila",1680,1544,1372,112,24,172,0,44.43,0.75,"PC - 1","Level 6","Location 3","Confirmed Staff","Gisella Nickie","Client Service Staff",Active
874,"Rohan Robinson",1680,1396,1043,192,92,0,363,37.35,0.75,"PC - 1","Level 6","Location 6","Confirmed Staff","Johan Gaines","Client Service Staff",Active
875,"Angela Dyer",1680,1418,992,222,40,0,624,34.98,0.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Tommy Muire","Client Service Staff",Active
876,"Jaslyn Baldwin",1680,1484,1272,120,76,88,194,42.86,0.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Benedikta Kirbee","Client Service Staff",Active
877,"Joselyn Whitney",1680,1434,1357,176,70,0,213,47.32,0.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Ali Elsinore","Client Service Staff",Active
878,"Kieran Jensen",1680,1494.5,1408,112,73.5,0,102.5,47.1,0.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Gavra Kayle","Client Service Staff",Active
879,"Carlo Mcneil",1680,1477,1971.5,120,83,0,0,66.74,0.75,"PC - 2","Level 8","Location 9","Confirmed Staff","Imelda Madalena","Client Service Staff",Active
880,"Alex Doyle",1064,952,727,64,48,32,369.5,38.18,0.50,"PC - 2","Level 8","Location 7",Resigned,0,"Client Service Staff",Resigned
881,"Daniela Myers",1064,876.5,721,129,58.5,0,183,41.13,0.50,"PC - 2","Level 8","Location 7",Resigned,0,"Client Service Staff",Resigned
882,"Lila Turner",1640,1367,1400,216,57,0,23,51.2,0.75,"PC - 3","Level 8","Location 1","Serving Notice Period","Morgen Hailee","Client Service Staff",Active
883,"Audrey Tucker",1640,1294,1093,232,114,0,209,42.24,0.75,"PC - 3","Level 8","Location 1","Serving Notice Period","Vanessa Zingaro","Client Service Staff",Active
884,"Ali Lowery",1640,1378.5,1363.5,168,93.5,0,75,49.46,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Vanessa Zingaro","Client Service Staff",Active
885,"Keshawn Aguilar",1640,1301,1232,282,57,0,69,47.35,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Vanessa Zingaro","Client Service Staff",Active
886,"Emery Lynn",1640,1395,1372,184,61,0,23,49.18,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Landon Browning","Client Service Staff",Active
887,"Clare Boyer",1640,1373,1327,200,67,0,63,48.32,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Misti Helena","Client Service Staff",Active
888,"Precious Davila",1640,1380,1343,200,60,0,74,48.66,0.75,"PC - 3","Level 8","Location 1","Serving Notice Period","Misti Helena","Client Service Staff",Active
889,"Tripp Shepherd",1640,1360,1342,208,72,0,77,49.34,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Vanessa Zingaro","Client Service Staff",Active
890,"Liliana Vang",1640,1355,942,228,57,0,429,34.76,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Iormina Lucienne","Client Service Staff",Active
891,"Skyler Valencia",1640,1425,1342,160,55,0,177,47.09,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Donette Verne","Client Service Staff",Active
892,"Catalina Flowers",1640,1477,1152,120,43,0,325,39,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Beryle Lisha","Client Service Staff",Active
893,"Antoine Hester",1640,1398.5,1200,160,81.5,0,233,42.9,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Naomi Rebekah","Client Service Staff",Active
894,"Priscilla Mack",1640,1297.5,984,200,142.5,0,560,37.92,0.75,"PC - 2","Level 6","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
895,"Logan Williams",152,152,0,0,0,0,40,0,0.08,"PC - 1","Level 8","Location 6",Resigned,0,"Client Service Staff",Resigned
896,"Ryleigh Ortiz",1640,1395,1286,172,73,0,165.5,46.1,0.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Maria Aubrey","Client Service Staff",Active
897,"Audrina Arroyo",1640,1449,1234,160,31,0,222.5,42.58,0.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Margo Opaline","Client Service Staff",Active
898,"Javier Crosby",1640,1438,1384,144,58,0,137,48.12,0.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Refugia Morganti","Client Service Staff",Active
899,"Alexandria Livingston",1640,1405,1334,208,27,0,97,47.48,0.75,"PC - 1","Level 8","Location 3","Serving Notice Period","Conni Athene","Client Service Staff",Active
900,"Remington Lara",1080,967,854,80,33,0,145,44.16,0.50,"PC - 1","Level 8","Location 3",Resigned,"Claudia Meaghan","Client Service Staff",Resigned
901,"Sonia Pham",1640,1433,1364,184,23,0,97,47.59,0.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Claudia Meaghan","Client Service Staff",Active
902,"Marquis Thornton",1640,1419,1233,180,41,0,224.5,43.44,0.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Maria Aubrey","Client Service Staff",Active
903,"Giancarlo Flowers",1640,1431,1297,176,33,0,176.5,45.32,0.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Erminie Ericka","Client Service Staff",Active
904,"Pedro Simon",1080,962,844,80,38,0,166,43.86,0.50,"PC - 1","Level 8","Location 3",Resigned,"Margo Opaline","Client Service Staff",Resigned
905,"Kael Downs",1640,1374.5,1443,160,105.5,0,135,52.49,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Chris Ricky","Client Service Staff",Active
906,"Javon Baker",1640,1341,1223,200,99,0,320,45.6,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Dannie Clotilda","Client Service Staff",Active
907,"Killian Floyd",1640,1389,1248,168,83,0,166,44.92,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Naomi Rebekah","Client Service Staff",Active
908,"Ashton Nunez",1640,1532,856,80,28,0,871.5,27.94,0.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Lian Harley","Client Service Staff",Active
909,"Darius Mejia",1640,1342,1296,208,90,0,161,48.28,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tatiana Roxanna","Client Service Staff",Active
910,"Eve Meza",1640,1412.5,667,120,107.5,0,798.5,23.61,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Mira Fiorenze","Client Service Staff",Active
911,"Bronson Harding",1640,1346,1625,198,96,0,199,60.36,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tatiana Roxanna","Client Service Staff",Active
912,"Jamison Hester",1640,1367,1396,144,129,0,150.5,51.06,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tatiana Roxanna","Client Service Staff",Active
913,"Yusuf Duarte",1640,1341,1417,172,127,0,251,52.84,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Cosette Lavena","Client Service Staff",Active
914,"Declan Rojas",1640,1098,944,430,112,0,210,42.98,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tatiana Roxanna","Client Service Staff",Active
915,"Carleigh Osborn",1640,1335.5,1072,216,88.5,0,277.5,40.14,0.75,"PC - 2","Level 8","Location 7","Serving Notice Period","Tatiana Roxanna","Client Service Staff",Active
916,"Bryce Burch",1640,1384,1268,160,96,0,449.5,45.81,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Josi Ula","Client Service Staff",Active
917,"Alyvia Carroll",1640,1392,1336,136,112,0,89,47.99,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tatiana Roxanna","Client Service Staff",Active
918,"Cory Flowers",1640,1460,1003,128,52,0,496,34.35,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Rosabella Arlina","Client Service Staff",Active
919,"Rayna Armstrong",1640,1463,1256,120,57,0,407,42.92,0.83,"PC - 3","Level 8","Location 1",Resigned,"Gert Editha","Client Service Staff",Resigned
920,"Deanna Gentry",752,620,509,80,52,0,114,41.05,0.42,"PC - 1","Level 7","Location 3",Resigned,"Agnes Stacie","Client Service Staff",Resigned
921,"Melina Benson",1592,1385.5,1286,152,54.5,0,133.5,46.41,0.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Sybil Georgianna","Client Service Staff",Active
922,"Zachery Santana",1592,1369.5,588,120,102.5,40,765.5,21.47,0.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Kati Rosalyn","Client Service Staff",Active
923,"Britney Castro",1592,1433,912,120,39,0,529,31.82,0.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Kristina Alleen","Client Service Staff",Active
924,"Brandon Jenkins",1560,1504,824,48,8,0,680,27.4,0.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Morgen Hailee","Client Service Staff",Active
925,"Paulina Terrell",1560,1401,1060,128,31,0,353,37.83,0.67,"PC - 2","Level 7","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
926,"Karter Bridges",1080,948,484,80,52,0,512,25.52,0.50,"PC - 3","Level 8","Location 1",Resigned,"Tallia Eyde","Client Service Staff",Resigned
927,"Saige Burch",1520,1339,952,128,53,0,387,35.55,0.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
928,"Brent Duke",1520,1372,1056,96,52,0,412,38.48,0.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
929,"Elsa Gutierrez",1520,1352,680,104,64,0,680,25.15,0.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Christina Desdemona","Client Service Staff",Active
930,"Dallas Arellano",1520,1340,911,120,60,0,445,33.99,0.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Christina Desdemona","Client Service Staff",Active
931,"Erik Bird",1520,1290,1298,120,110,0,5,50.31,0.67,"PC - 3","Level 7","Location 1","Confirmed Staff","Nikolia Shirl","Client Service Staff",Active
932,"Mercedes Murillo",1520,1298,1310.5,184,38,0,73,50.48,0.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Yolanthe Laurella","Client Service Staff",Active
933,"Wesley Sparks",1520,1356.5,1106,136,27.5,0,420.5,40.76,0.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Jamiya Sellers","Client Service Staff",Active
934,"Macey Hendricks",1520,1304,1170,176,40,0,256,44.86,0.67,"PC - 1","Level 7","Location 3","Confirmed Staff","Dionne Ronna","Client Service Staff",Active
935,"Isabela Mcbride",1560,1392,1261,136,32,0,216,45.3,0.67,"PC - 3","Level 7","Location 1","Confirmed Staff","Benedikta Kirbee","Client Service Staff",Active
936,"Aimee Reynolds",1520,1319.5,1362,176,24.5,0,59,51.61,0.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Rosabel Saidee","Client Service Staff",Active
937,"Rishi Horn",1480,1325.5,1277.5,128,26.5,0,51,48.19,0.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Cherise Lainey","Client Service Staff",Active
938,"Malia Mason",1480,1424,1424,8,48,0,0,50,0.67,"PC - 3","Level 8","Location 1","Serving Notice Period","Christina Desdemona","Client Service Staff",Active
939,"Allison Blackburn",1480,1300.5,1048,112,67.5,0,397.5,40.29,0.67,"PC - 3","Level 8","Location 4","Confirmed Staff","Mathilda Tomi","Client Service Staff",Active
940,"Amara Webb",1480,1261,1088,160,59,0,184,43.14,0.67,"PC - 3","Level 7","Location 1","Confirmed Staff","Gert Editha","Client Service Staff",Active
941,"Trent Andrews",1480,1344,1023,104,32,0,363,38.06,0.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Conni Athene","Client Service Staff",Active
942,"Taylor Barrett",1480,1166,1172,276,38,0,55,50.26,0.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Sheila Papagena","Client Service Staff",Active
943,"Paola Conway",1480,1297,1044,160,23,0,257,40.24,0.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Luciana Erika","Client Service Staff",Active
944,"Cael Chavez",1480,1331.5,959,120,28.5,0,447.5,36.01,0.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Jamiya Sellers","Client Service Staff",Active
945,"Caylee Maxwell",320,289.5,136,16,14.5,0,153.5,23.49,0.17,"PC - 1","Level 8","Location 3",Resigned,0,"Client Service Staff",Resigned
946,"Shelby Harris",352,321.5,120,16,14.5,0,213,18.66,0.17,"PC - 1","Level 8","Location 3",Resigned,"Ilsa Marigold","Client Service Staff",Resigned
947,"Anabel Jimenez",1480,1263,979,180,37,3,437,38.76,0.67,"PC - 1","Level 6","Location 3","Confirmed Staff","Rina Debee","Client Service Staff",Active
948,"Cruz Tucker",1480,1286,1144,144,50,0,313,44.48,0.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Lindy Marguerite","Client Service Staff",Active
949,"Rowan Cowan",1440,1252,1252,136,52,0,0,50,0.67,"PC - 3","Level 6","Location 1","Confirmed Staff","Rosabel Saidee","Client Service Staff",Active
950,"Miguel Adkins",440,357,205,32,51,0,152,28.71,0.25,"PC - 3","Level 7","Location 1",Resigned,"Tommy Muire","Client Service Staff",Resigned
951,"Josh Newton",1440,1278,1160,144,18,0,118,45.38,0.67,"PC - 3","Level 7","Location 1","Confirmed Staff","Beryle Lisha","Client Service Staff",Active
952,"Rylee Riley",1440,1240,1176,152,48,0,144,47.42,0.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Iormina Lucienne","Client Service Staff",Active
953,"Zayden Cowan",1400,1239,624,136,25,0,615,25.18,0.67,"PC - 1","Level 8","Location 3","Serving Notice Period","Luciana Erika","Client Service Staff",Active
954,"Teagan Hunt",1400,1214,1088,160,26,0,126,44.81,0.67,"PC - 2","Level 7","Location 9","Confirmed Staff","Lenora Nydia","Client Service Staff",Active
955,"Fernando Stone",1400,1174,1062,208,18,15,97,45.23,0.67,"PC - 2","Level 7","Location 7","Confirmed Staff","Rosabella Arlina","Client Service Staff",Active
956,"Luke Garner",680,572,556,108,0,0,16,48.6,0.58,"PC - 3","Level 8","Location 1","Confirmed Staff","Cordula Devan","Client Service Staff",Active
957,"Brady Daugherty",1352,1224,686,120,8,456,168,28.02,0.58,"PC - 1","Level 7","Location 3","Confirmed Staff","Jamiya Sellers","Client Service Staff",Active
958,"Solomon Turner",1352,1183,847,160,9,0,336,35.8,0.58,"PC - 1","Level 8","Location 3","Confirmed Staff","Jamiya Sellers","Client Service Staff",Active
959,"Zain Liu",1352,1245,643,96,11,0,647.5,25.82,0.58,"PC - 1","Level 7","Location 3","Confirmed Staff","Jamiya Sellers","Client Service Staff",Active
960,"Jamiya Sellers",1352,1168,224,176,8,0,944,9.59,0.58,"PC - 1","Level 4","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
961,"Christina Bates",1320,1079.75,826,200,40.25,0,342.5,38.25,0.58,"PC - 1","Level 8","Location 3","Confirmed Staff","Emelda Jackqueline","Client Service Staff",Active
962,"Audrey Howell",1320,1171,1024,96,53,0,179,43.72,0.58,"PC - 3","Level 8","Location 1","Confirmed Staff","Xylina Beatriz","Client Service Staff",Active
963,"Orlando Winters",1080,984,953,96,0,0,288,48.42,0.50,"PC - 3","Level 8","Location 1",Resigned,"Tommy Muire","Client Service Staff",Resigned
964,"Cole Melton",1280,1132.7,0,128,19.3,0,1131.7,0,0.58,"PC - 2","Level A1","Location 7","Confirmed Staff","Annnora Gabrielle","Support Staff",Active
965,"Anabel Soto",1280,1072,956,176,32,0,180,44.59,0.58,"PC - 3","Level 8","Location 1","Confirmed Staff","Xylina Beatriz","Client Service Staff",Active
966,"Jaime Yates",1240,1093,920,120,27,0,185,42.08,0.58,"PC - 3","Level 8","Location 4","Confirmed Staff","Mathilda Tomi","Client Service Staff",Active
967,"Darion Haas",760,617,560,96,47,0,65,45.38,0.42,"PC - 2","Level 7","Location 9",Resigned,"Lenora Nydia","Client Service Staff",Resigned
968,"Arielle Mcpherson",1200,987,564,168,45,0,431,28.57,0.50,"PC - 1","Level 8","Location 3","Confirmed Staff","Kalie Sylvia","Client Service Staff",Active
969,"Sterling Carson",1168,971,995,160,37,16,0,51.24,0.50,"PC - 3","Level 8","Location 1",Resigned,"Xylina Beatriz","Client Service Staff",Resigned
970,"Amelia Rocha",1200,1056,1048,120,24,0,17,49.62,0.50,"PC - 3","Level 8","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
971,"Leonidas Pena",1200,1037,906,120,43,121,50,43.68,0.50,"PC - 3","Level 6","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
972,"Tori Montoya",1160,936,700,168,56,0,244,37.4,0.50,"PC - 3","Level 7","Location 1","Confirmed Staff","Ali Elsinore","Client Service Staff",Active
973,"Jaime Yoder",1160,1012,896,120,28,0,116,44.27,0.50,"PC - 3","Level 7","Location 1","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
974,"Denisse Moses",1160,1006,1138,128,26,8,150.5,56.56,0.50,"PC - 2","Level 8","Location 7","Confirmed Staff","Rosabella Arlina","Client Service Staff",Active
975,"Jessie Hester",1160,1023,999,112,25,0,24,48.82,0.50,"PC - 1",0,"Location 8","Confirmed Staff","Douglas Herrera","Client Service Staff",Active
